model,uses_start_trl,validation_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_mae
alg1_full_fusion,True,0.6840911002967913,0.7568590350047304,0.6764852106679492,0.7624248535038054,0.24739829706717123
alg2_no_start_pseudo_start,False,0.548847279975739,0.6579943235572374,0.5547328990274214,0.6668407763533619,0.36281929990539263
alg3_rubric_explainable,False,0.5133633548074198,0.6466414380321666,0.5379283080570348,0.6500542254083098,0.37322611163670766
alg4_gridsearched_svc_retrieval,False,0.4863656975323562,0.7086092715231788,0.4834375816452458,0.6710550798236834,0.29375591296121095
