project_id,target_label,top_k_project_ids,top_k_similarity_scores,top_k_labels,neighbor_low_ratio,neighbor_mid_ratio,neighbor_high_ratio,mean_similarity,max_similarity,retrieval_text_policy
118285,Low,113085|93910|154525|125775|118281,0.198466|0.194177|0.191476|0.191245|0.184721,Mid|Low|Mid|Mid|Low,0.4,0.6,0.0,0.19201690162178744,0.19846564866931868,Description-centered TF-IDF; title/benefits are auxiliary context.
146513,Low,183288|183282|17551|10821|146553,0.152091|0.151586|0.137594|0.131400|0.129681,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.1404704467617816,0.15209086697850735,Description-centered TF-IDF; title/benefits are auxiliary context.
118267,Mid,93901|118293|118379|154619|154860,0.236928|0.202828|0.170348|0.168772|0.161002,Low|Mid|Low|Mid|Mid,0.4,0.6,0.0,0.18797552297705872,0.2369276473402112,Description-centered TF-IDF; title/benefits are auxiliary context.
11710,High,101866|93489|102059|102930|93216,0.186745|0.169789|0.166948|0.162094|0.158909,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.1688969622944085,0.18674516618937534,Description-centered TF-IDF; title/benefits are auxiliary context.
93086,Low,79554|117450|18633|156351|96132,0.200682|0.197717|0.165562|0.161874|0.158800,High|Mid|High|Low|Low,0.4,0.2,0.4,0.17692712250352344,0.2006818991704674,Description-centered TF-IDF; title/benefits are auxiliary context.
125577,High,113277|125660|154697|158580|33505,0.609209|0.211246|0.206268|0.190053|0.188657,Mid|Low|Low|Mid|Mid,0.4,0.6,0.0,0.28108667666676224,0.6092089227823919,Description-centered TF-IDF; title/benefits are auxiliary context.
17985,Mid,18317|33969|33481|8736|10426,0.419500|0.410558|0.398207|0.259507|0.240807,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.34571601411862785,0.4195003942033855,Description-centered TF-IDF; title/benefits are auxiliary context.
113396,Mid,94692|102940|125740|158074|113570,0.642946|0.248688|0.183694|0.179628|0.175812,Low|Mid|Low|Low|Mid,0.6,0.4,0.0,0.28615347869129887,0.6429456384592058,Description-centered TF-IDF; title/benefits are auxiliary context.
146980,Mid,157895|118293|118379|154860|146971,0.251818|0.222097|0.207711|0.178940|0.172185,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.20655014135115618,0.2518180581531713,Description-centered TF-IDF; title/benefits are auxiliary context.
9247,Mid,10355|9646|33455|9898|93613,0.272591|0.246859|0.244420|0.210599|0.205214,Mid|Low|High|Mid|Mid,0.2,0.6,0.2,0.23593645838953714,0.2725905602381485,Description-centered TF-IDF; title/benefits are auxiliary context.
93193,Low,102205|113358|9238|17883|90525,0.191712|0.186605|0.179587|0.172832|0.168153,Mid|Mid|Low|Low|Mid,0.4,0.6,0.0,0.17977774346756645,0.19171188459182376,Description-centered TF-IDF; title/benefits are auxiliary context.
33336,Mid,90580|9623|102305|154534|90269,0.991994|0.409529|0.171938|0.156660|0.150243,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.3760729875617185,0.9919937786596507,Description-centered TF-IDF; title/benefits are auxiliary context.
9559,Mid,8157|18049|101894|8540|18056,0.588249|0.163224|0.161155|0.152895|0.148857,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.24287598796371251,0.5882486979114564,Description-centered TF-IDF; title/benefits are auxiliary context.
145972,Mid,14735|158346|4215|106045|96133,0.471454|0.219817|0.218330|0.184327|0.184327,Mid|Mid|Low|Low|Low,0.6,0.4,0.0,0.2556511008057265,0.47145418830340147,Description-centered TF-IDF; title/benefits are auxiliary context.
9500,Mid,16627|18077|102031|102229|90293,0.249561|0.243226|0.236533|0.223392|0.209357,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.23241381152388946,0.24956126315988839,Description-centered TF-IDF; title/benefits are auxiliary context.
14777,Mid,10798|10800|17456|90792|157204,0.985520|0.176011|0.165667|0.163831|0.156289,Mid|High|Low|Low|Mid,0.4,0.4,0.2,0.3294635371647917,0.9855199832417624,Description-centered TF-IDF; title/benefits are auxiliary context.
12856,High,18047|8756|102528|10370|125485,0.325227|0.195596|0.189229|0.152940|0.148337,High|High|Mid|Low|Mid,0.2,0.4,0.4,0.20226556657515618,0.32522718111518506,Description-centered TF-IDF; title/benefits are auxiliary context.
113284,Mid,94610|33661|113485|102843|101912,0.350764|0.204537|0.184186|0.183056|0.180788,Mid|Mid|Mid|Low|Mid,0.2,0.8,0.0,0.2206661374524656,0.3507641397061522,Description-centered TF-IDF; title/benefits are auxiliary context.
18406,Mid,18365|90228|93687|92588|16814,0.182149|0.175605|0.173436|0.149694|0.146164,High|Mid|Mid|Mid|Mid,0.0,0.8,0.2,0.1654093830185945,0.18214872206041893,Description-centered TF-IDF; title/benefits are auxiliary context.
10536,Low,95549|40634|34935|158000|94425,0.133232|0.126478|0.122461|0.118865|0.118607,Low|Mid|Mid|High|Mid,0.2,0.6,0.2,0.1239285019121829,0.13323211231269363,Description-centered TF-IDF; title/benefits are auxiliary context.
89756,Mid,106059|154547|156392|154345|158227,0.204485|0.189667|0.165702|0.162489|0.160929,Low|Mid|Mid|Mid|Mid,0.2,0.8,0.0,0.1766542630756255,0.20448536830659106,Description-centered TF-IDF; title/benefits are auxiliary context.
94971,Mid,102972|94499|17901|10364|102136,0.314749|0.299821|0.285809|0.283820|0.241076,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.28505504879781907,0.31474902184950276,Description-centered TF-IDF; title/benefits are auxiliary context.
9408,Mid,9898|9913|8268|16136|8600,0.206394|0.189030|0.181589|0.176176|0.175920,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.18582207990387317,0.2063944490229249,Description-centered TF-IDF; title/benefits are auxiliary context.
113047,Mid,125395|93557|93695|88195|95027,0.768911|0.421820|0.172319|0.170536|0.165465,Mid|Mid|Mid|High|Low,0.2,0.6,0.2,0.3398103391600781,0.7689111730612764,Description-centered TF-IDF; title/benefits are auxiliary context.
89909,High,34084|18375|17913|9599|8986,0.181820|0.167517|0.167335|0.164508|0.163753,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.16898650607697882,0.18181966917673856,Description-centered TF-IDF; title/benefits are auxiliary context.
