feature,importance
feature_32044,1.9095886983815202
feature_32055,1.7223143907114242
feature_32444,1.6042952182932686
feature_32041,1.2406679308059514
feature_32018,1.105739868788398
feature_32020,0.9406822664588298
feature_32447,0.9247991465923645
feature_32246,0.8584553207327915
feature_32097,0.8455418854255418
feature_32049,0.8152131663945515
feature_32054,0.8114872424025715
feature_32027,0.7863002880002998
feature_32002,0.7833953526868553
feature_32016,0.7824924203164274
feature_32036,0.7727024441711964
feature_32123,0.76659755507372
feature_32446,0.7547701141409481
feature_32038,0.7390572578961537
feature_32448,0.736994915055103
feature_32059,0.722796844118503
feature_32267,0.7053572397596498
feature_32021,0.6980413868063798
feature_32056,0.6900426447931082
feature_32445,0.6741263951856046
feature_32226,0.6696247003490682
feature_32043,0.6672548137300476
feature_32052,0.6592233315695188
feature_32000,0.6591456187528534
feature_32046,0.6545291396102536
feature_32062,0.6521300947364529
feature_32050,0.6423468442407906
feature_32388,0.6406840030118036
feature_32171,0.6366105162263013
feature_32381,0.6301880325092418
feature_32168,0.627816438669833
feature_32035,0.6175903921002667
feature_32443,0.6006126600803455
feature_32158,0.6004130951682156
feature_32001,0.5966251023995336
feature_32022,0.592591952146602
feature_32322,0.5910865268890861
feature_32029,0.584855225019316
feature_32136,0.5737469931733016
feature_32308,0.5694098693021733
feature_32013,0.5686666089230261
feature_32229,0.5640005984075479
feature_32034,0.5614904714136525
feature_32227,0.5602023109583334
feature_32031,0.5566155009072539
feature_32204,0.5551141051544747
feature_32301,0.5511912128166766
feature_32008,0.5461128534072913
feature_32108,0.5372269484173307
feature_32337,0.5344569012800802
feature_32012,0.5305693306377133
feature_32039,0.5265696695474257
feature_32088,0.5146555718176508
feature_32030,0.5095223733825104
feature_32235,0.5070794926361863
feature_32258,0.5048239808841692
feature_32177,0.5025187972076731
feature_9674,0.5017032119979352
feature_32279,0.5001405364071293
feature_2213,0.49781775895180164
feature_32096,0.4903603304698741
feature_32115,0.49007097335468214
feature_32028,0.4846380039475762
feature_32384,0.4813478411330883
feature_32164,0.4780919175736453
feature_32140,0.4684352241146561
feature_32213,0.46773010961278333
feature_32160,0.46623610409319
feature_32017,0.4631539055398197
feature_32339,0.4605431491551703
feature_32174,0.46050546747821297
feature_32037,0.46028177265999615
feature_32302,0.4595204192647128
feature_32383,0.4581448364624987
feature_9255,0.4558460931685187
feature_32199,0.4555376740147567
feature_32165,0.45498794753839267
feature_32210,0.4544729124899541
feature_32270,0.4544031405294426
feature_32078,0.45359214908751105
feature_32275,0.4528861998322717
feature_32324,0.4525908794025462
feature_32396,0.4504850999335581
feature_32256,0.4500957806838784
feature_13887,0.44942202338367593
feature_32085,0.4471791827966431
feature_32149,0.443719791816124
feature_32370,0.4428653389461487
feature_32026,0.44238467388314356
feature_32231,0.4383507252248529
feature_32143,0.43764555137139965
feature_32241,0.43520163958800334
feature_32080,0.4340576790213973
feature_32188,0.42915109671844975
feature_32317,0.42818317708891906
feature_32380,0.42682686323947777
feature_32084,0.426223412547949
feature_32134,0.4253243464228312
feature_32329,0.4217211083599203
feature_32404,0.4205148318402721
feature_32107,0.4186617967581894
feature_32318,0.41573696614996863
feature_32390,0.4121046689319652
feature_32369,0.4116137924493057
feature_32003,0.41027200707765904
feature_4597,0.4102630957615638
feature_32205,0.410209408296973
feature_32106,0.40734371848100376
feature_32206,0.4071703935300032
feature_7289,0.4066026681621992
feature_32228,0.4061162361169289
feature_32184,0.4058919663316061
feature_32345,0.4057983023810496
feature_32378,0.40312767571845237
feature_15484,0.4026699064296129
feature_32153,0.40175562444763147
feature_32218,0.4011997690025224
feature_32303,0.4004947751286229
feature_32200,0.3949064644592269
feature_32166,0.39272580218652936
feature_32251,0.38911417664513487
feature_3562,0.38884646644366844
feature_32074,0.38850181096722736
feature_32114,0.3879512873214937
feature_32244,0.3876292952606771
feature_32254,0.3873123466316765
feature_32125,0.38613798891756107
feature_32212,0.38493419562344017
feature_32045,0.38431942713765593
feature_32092,0.38372165673441017
feature_32268,0.38251232786982553
feature_3810,0.38017693954224224
feature_32290,0.37996610406126746
